

 tanh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
       0.999999999999999999999978436667331    3.63627622324431154826473879409134e-22
       0.999999999999999999999999986425037      2.607169966675305821284360454592e-25
       0.999999999999999999999999999996931    6.71369968401811024138886559068207e-29
                                         1    5.38356073303151668047583721357359e-33
                                         1    1.14265995087216573792146260822052e-37
                                         1    5.33480407136279713070008297441111e-43
                                         1     4.4372300512037743291447970281469e-49
                                         1    5.17133456576631810738890263355906e-56
                                         1    6.42377671858903539883873931864645e-64
                                         1    6.22803151992759833021639428313129e-73
                                         1    3.30472101493941795571072006650443e-83
                                         1    6.40544448585451935490645859915141e-95
                                         1   2.86136001529741743309121869336987e-108
                                         1   1.74323037995611937108017662579394e-123
                                         1   7.96793875650631488467629395270069e-141
                                         1   1.38319813769153560295945648157742e-160
                                         1   4.19925088213897801236421076034983e-183
                                         1    9.2161510134227978240498465938089e-209
                                         1   5.34537360389757380001443633873802e-238
                                         1   2.60380869245546209871740449170111e-271
                                         1   2.88618856618774744384558691849587e-309
                                         1   1.64474644289212188048190875569147e-352
                                         1   8.85152878062477323771578996074846e-402
                                         1   6.52791455208262872626824601346057e-458
                                         1   7.31841784316989706676596587225731e-522
                                         1   1.01888328417776237939374366151687e-594
                                         1   1.01558050893954593337303305175905e-677
                                         1   2.80921545042723416819464108928108e-772
                                         1   5.31769941002724179877407503361679e-880
                                         1  1.01479482403699065494241673459345e-1002
                                         1  1.59928248653061798417634378309263e-1142
                                         1  8.73790830779333952910215703342681e-1302
                                         1   3.2444185504688744158027263968128e-1483
                                         1  6.74024594206641430613146879442849e-1690
                                         1  2.40113148630232926038785528861021e-1925
                                         1  1.45835650477798474917512088578186e-2193
                                         1  4.16500697064849821582475470826695e-2499
                                         1   3.5798961971986277196857359881379e-2847


 sinh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
   -6.63125e+10    1.08321e+12
   -1.70179e+10    2.63281e+11
    -4.6931e+09    6.87659e+10
   -1.38548e+09    1.92274e+10
    -4.3627e+08    5.73438e+09
   -1.46028e+08    1.81797e+09
   -5.17882e+07    6.10677e+08
   -1.94001e+07    2.16682e+08
   -7.65407e+06    8.09766e+07
   -3.17173e+06    3.17851e+07
   -1.37683e+06    1.30701e+07
        -624556    5.61639e+06
        -295360    2.51617e+06
        -145295    1.17263e+06
       -74192.3         567294
       -39247.3         284329
       -21467.5         147360
       -12119.9        78833.6
       -7050.55        43459.1
       -4219.47        24648.7
       -2593.82        14361.3
       -1635.48        8583.35
       -1056.27        5255.25
       -697.866         3291.9
       -471.082        2107.11
       -324.522        1376.63
       -227.895        916.982
       -162.972        622.119
       -118.562         429.47
        -87.664        301.397
       -65.8187         214.84
       -50.1369        155.421
       -38.7162        114.021
       -30.2841        84.7673
       -23.9773         63.819
       -19.2016        48.6269
       -15.5427        37.4761
        -12.708        29.1979
       -10.4884        22.9856
       -8.73264        18.2757
       -7.33016        14.6701
       -6.19934        11.8846
       -5.27928        9.71392
       -4.52411        8.00857
       -3.89895        6.65849
       -3.37709        5.58199
       -2.93786        4.71786
       -2.56516        4.01991
       -2.24635        3.45297
       -1.97141        2.99009
       -1.73239        2.61044
       -1.52287        2.29785
       -1.33769         2.0397
       -1.17262        1.82603
       -1.02422        1.64902
      -0.889616        1.50246
      -0.766429        1.38141
      -0.652648        1.28196
      -0.546565        1.20101
      -0.446705         1.1361
      -0.351782        1.08532
       -0.26065        1.04723
      -0.172274        1.02076
     -0.0856943        1.00515
              0              1
      0.0856943        1.00515
       0.172274        1.02076
        0.26065        1.04723
       0.351782        1.08532
       0.446705         1.1361
       0.546565        1.20101
       0.652648        1.28196
       0.766429        1.38141
       0.889616        1.50246
        1.02422        1.64902
        1.17262        1.82603
        1.33769         2.0397
        1.52287        2.29785
        1.73239        2.61044
        1.97141        2.99009
        2.24635        3.45297
        2.56516        4.01991
        2.93786        4.71786
        3.37709        5.58199
        3.89895        6.65849
        4.52411        8.00857
        5.27928        9.71392
        6.19934        11.8846
        7.33016        14.6701
        8.73264        18.2757
        10.4884        22.9856
         12.708        29.1979
        15.5427        37.4761
        19.2016        48.6269
        23.9773         63.819
        30.2841        84.7673
        38.7162        114.021
        50.1369        155.421
        65.8187         214.84
         87.664        301.397
        118.562         429.47
        162.972        622.119
        227.895        916.982
        324.522        1376.63
        471.082        2107.11
        697.866         3291.9
        1056.27        5255.25
        1635.48        8583.35
        2593.83        14361.3
        4219.47        24648.7
        7050.55        43459.1
        12119.9        78833.7
        21467.5         147360
        39247.3         284329
        74192.3         567294
         145295    1.17263e+06
         295360    2.51617e+06
         624557     5.6164e+06
    1.37683e+06    1.30701e+07
    3.17173e+06    3.17851e+07
    7.65407e+06    8.09766e+07
    1.94001e+07    2.16682e+08
    5.17882e+07    6.10677e+08
    1.46028e+08    1.81798e+09
    4.36269e+08    5.73438e+09
    1.38548e+09    1.92274e+10
     4.6931e+09    6.87659e+10
    1.70179e+10     2.6328e+11
    6.63125e+10    1.08321e+12
 double
---------------
 k_max = 5.56495888501779
 h     = 0.0869524825784029
   -5.78448996508563e+88    7.55218085824489e+90
   -2.21260922528733e+81    2.64819679201907e+83
   -3.50943025235043e+74    3.85053085769987e+76
    -2.0503022053079e+68     2.0622466233615e+70
    -3.9581257218711e+62    3.64965121246077e+64
   -2.28570399259223e+57    1.93206265779283e+59
   -3.60393914084463e+52    2.79266325880886e+54
   -1.42702179944581e+48    1.01370638417121e+50
   -1.31423646394899e+44    8.55847113722441e+45
   -2.62405931095841e+40    1.56652815435199e+42
   -1.06497873115328e+37    5.82838585567502e+38
   -8.28163299452083e+33    4.15496379884002e+35
   -1.16889619933877e+31    5.37616291266181e+32
   -2.84942078059532e+28    1.20143375022411e+30
   -1.14627575578989e+26    4.43078794785153e+27
    -7.2987854659458e+23    2.58638563004515e+25
    -7.0798969181775e+21    2.29997469343433e+23
   -1.01015280204838e+20    3.00842894167979e+21
   -2.05290015185601e+18    5.60506670638412e+19
   -5.76989920221054e+16    1.44426163313945e+18
   -2.18299465269488e+15    5.00956785215952e+16
        -108458139360274    2.28184392166209e+15
       -6917239830440.06         133425933599402
       -554653120319.436        9808923692415.18
       -54857613980.4593        889487426953.331
       -6576237626.77272         97767817856.313
       -940315129.388635        12818059007.3024
       -158028014.894108         1975290888.5781
       -30796382.3832007          352992827.5765
       -6873801.75281186        72253258.4042143
       -1737394.93826655         16748774.529778
       -492136.402991679        4351404.38551086
       -154743.829252705        1255043.76111967
       -53540.2809728401        398361.896966758
       -20220.8880026215        138041.110792458
       -8275.09085198993        51839.7263515869
       -3644.70733575201        20956.4725147271
       -1717.02147598485         9063.5105229831
       -860.278061457705        4170.06712985155
       -456.017126728973        2030.53014871542
       -254.516913038953        1041.44558007012
       -148.911410174182        560.196325291061
       -90.9601282178825        314.773564610401
       -57.7910015951026        184.093926760083
       -38.0586491350515        111.695359557616
       -25.8962575499791        70.0958675036688
        -18.151422817254        45.3785148391328
       -13.0692542767127        30.2327467064504
       -9.64037619519581        20.6858407921233
       -7.26640478332182        14.5099838176835
       -5.58253996720679        10.4188968791163
       -4.36054305708923        7.64953333018274
       -3.45413681634764         5.7377104846822
       -2.76744870820748         4.3943838300644
       -2.23631218980646        3.43563334796026
       -1.81692520698217        2.74207665846776
       -1.47881820708376        2.23480496169194
       -1.20040223072597        1.86081316108302
      -0.966093304115317         1.5840059998943
      -0.764417908785729         1.3795482693629
      -0.586739186668106        1.23026207636349
      -0.426381176339831        1.12430384137369
      -0.278010386246878        1.05366026366177
      -0.137183498225948         1.0131839750568
                       0                       1
       0.137183498225948         1.0131839750568
       0.278010386246879        1.05366026366177
       0.426381176339831        1.12430384137369
       0.586739186668106        1.23026207636349
       0.764417908785729         1.3795482693629
       0.966093304115317         1.5840059998943
        1.20040223072597        1.86081316108302
        1.47881820708376        2.23480496169194
        1.81692520698217        2.74207665846776
        2.23631218980646        3.43563334796026
        2.76744870820748         4.3943838300644
        3.45413681634764         5.7377104846822
        4.36054305708923        7.64953333018274
        5.58253996720679        10.4188968791163
        7.26640478332182        14.5099838176835
         9.6403761951958        20.6858407921233
        13.0692542767127        30.2327467064504
         18.151422817254        45.3785148391328
        25.8962575499791        70.0958675036689
        38.0586491350515        111.695359557616
        57.7910015951026        184.093926760083
        90.9601282178825        314.773564610401
        148.911410174182        560.196325291061
        254.516913038953        1041.44558007012
        456.017126728973        2030.53014871542
        860.278061457705        4170.06712985155
        1717.02147598485         9063.5105229831
        3644.70733575202        20956.4725147272
        8275.09085198993        51839.7263515869
        20220.8880026215        138041.110792458
        53540.2809728401        398361.896966758
        154743.829252705        1255043.76111967
